Fantasy,Sci-Fi / Futuristic,Classical antiquity,Cyberpunk / Dark Sci-Fi,Post-Apocalyptic,Middle East,Contemporary,Asia,Historical Events,China (Ancient/Imperial),World War II,Europe,Africa,Japan (Ancient/Classical/Medieval),Medieval,Prehistoric,Sea Pirates/Caribbean,Egypt (Ancient),Interwar,World War I,Cold War,Industrial Age,North America,South America,Western,Oceania,Pre-Columbian Americas,Steampunk,platform,country
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292 Advanced Programmable Video System,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292 Advanced Programmable Video System,Japan
1.0,6.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,3DO,Germany
6.0,18.0,,3.0,,,,,2.0,1.0,,,,2.0,,,,,1.0,,,,,,,,,,3DO,Japan
126.0,235.0,4.0,15.0,12.0,2.0,11.0,1.0,26.0,2.0,9.0,10.0,1.0,1.0,5.0,4.0,5.0,,9.0,4.0,2.0,1.0,11.0,,5.0,,,,Amiga,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga,Japan
12.0,23.0,,2.0,2.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,Amiga CD32,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amiga CD32,Japan
28.0,61.0,,7.0,2.0,,,,1.0,1.0,2.0,2.0,,,2.0,1.0,,,2.0,,,,,1.0,1.0,,,,Amstrad CPC,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amstrad CPC,Japan
8.0,2.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,Android,Germany
28.0,1.0,,,1.0,,6.0,1.0,,,,,,1.0,,,,,1.0,1.0,,2.0,,,,,,,Android,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple II,Germany
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple II,Japan
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcade,Germany
132.0,318.0,2.0,9.0,14.0,2.0,12.0,6.0,4.0,2.0,6.0,6.0,2.0,17.0,4.0,1.0,,1.0,,1.0,1.0,,8.0,2.0,9.0,,,,Arcade,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcadia 2001,Germany
,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Arcadia 2001,Japan
1.0,7.0,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,Atari 2600,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atari 2600,Japan
8.0,20.0,,,,,1.0,,1.0,,1.0,2.0,,,,1.0,,,,,,,,1.0,,,1.0,,Atari 8-bit,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atari 8-bit,Japan
64.0,135.0,2.0,3.0,5.0,,7.0,1.0,7.0,,1.0,6.0,,,4.0,2.0,2.0,,2.0,1.0,,,4.0,1.0,4.0,,,,Atari ST,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Atari ST,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Micro,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BBC Micro,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,BREW,Germany
11.0,4.0,,2.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,BREW,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blu-ray Disc Player,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blu-ray Disc Player,Japan
4.0,3.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,Browser,Germany
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Browser,Japan
9.0,9.0,,4.0,,,,,,,,,,,,1.0,,1.0,,,,,,,3.0,,1.0,,CD-i,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD-i,Japan
1.0,3.0,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,CDTV,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDTV,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio Loopy,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio Loopy,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio PV-1000,Germany
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Casio PV-1000,Japan
,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel F,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Channel F,Japan
,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,ColecoVision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ColecoVision,Japan
2.0,9.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,"Commodore 16, Plus/4",Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Commodore 16, Plus/4",Japan
70.0,173.0,,10.0,1.0,2.0,5.0,1.0,3.0,,5.0,4.0,1.0,,1.0,2.0,1.0,2.0,8.0,1.0,1.0,,3.0,3.0,5.0,,1.0,,Commodore 64,Germany
1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,Commodore 64,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commodore PET/CBM,Germany
2.0,7.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,Commodore PET/CBM,Japan
303.0,403.0,13.0,60.0,24.0,12.0,31.0,6.0,112.0,2.0,42.0,30.0,9.0,3.0,7.0,5.0,12.0,2.0,37.0,19.0,6.0,5.0,18.0,5.0,10.0,,4.0,1.0,DOS,Germany
4.0,8.0,,,,,2.0,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,,DOS,Japan
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD Player,Germany
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,DVD Player,Japan
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated console,Germany
,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated console,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dedicated handheld,Germany
1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,Dedicated handheld,Japan
1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,DoJa,Germany
24.0,13.0,,2.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,DoJa,Japan
7.0,17.0,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,Dreamcast,Germany
30.0,51.0,,6.0,2.0,,,,2.0,1.0,2.0,,,,1.0,,,,5.0,,,,,,,,,,Dreamcast,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electron,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Cassette Vision,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Game Pocket Computer,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch Super Cassette Vision,Germany
1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,Epoch Super Cassette Vision,Japan
1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,ExEn,Germany
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ExEn,Japan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,FM Towns,Germany
